mph,rpm,fl_lvdt_inch,fl_lvdt_cm,fr_lvdt_inch,fr_lvdt_cm,bl_lvdt_inch,bl_lvdt_cm,br_lvdt_inch,vr_lvdt_cm,eng_temp_f,eng_temp_c,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
0.00,0.00,1.00,2.50,1.00,2.50,1.00,2.50,1.00,2.50,0.00,32.00,
